SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;ID_ESCOLA;NO_ESCOLA;REDE;VL_APROVACAO_2023_SI_4;VL_APROVACAO_2023_1;VL_APROVACAO_2023_2;VL_APROVACAO_2023_3;VL_APROVACAO_2023_4;VL_INDICADOR_REND_2023;VL_NOTA_MATEMATICA_2023;VL_NOTA_PORTUGUES_2023;VL_NOTA_MEDIA_2023;VL_OBSERVADO_2023
RO;1100015.0;Alta Floresta D'Oeste;11024682.0;EEEFM EURIDICE LOPES PEDROSO;Estadual;98;98.6;96.2;99.1;-;0.979502;254.41;253.38;4.055802;4
RO;1100015.0;Alta Floresta D'Oeste;11024968.0;EEEMTI JUSCELINO KUBITSCHEK DE OLIVEIRA;Estadual;97.5;95.2;100;100;-;0.983471;306.56;300.31;5.490791;5.4
RO;1100015.0;Alta Floresta D'Oeste;11025638.0;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM XI;Estadual;97.4;95.1;100;100;-;0.983115;285.14;288.04;5.006266;4.9
RO;1100023.0;Ariquemes;11006773.0;EEEFM CORA CORALINA;Estadual;61.6;54.6;52.4;74.2;-;0.589668;256.07;254.76;4.099775;2.4
RO;1100023.0;Ariquemes;11006889.0;EEEFM ANISIO TEIXEIRA;Estadual;89;90.7;87.1;88.9;-;0.888757;264.11;261.11;4.307757;3.8
RO;1100023.0;Ariquemes;11007168.0;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM III;Estadual;95;93.4;100;93;-;0.953612;268.52;268.2;4.475833;4.3
RO;1100023.0;Ariquemes;11007656.0;COLEGIO DINAMICO EDUCACAO BASICA;Privada;-;-;-;-;-;-;-;-;-;-
RO;1100023.0;Ariquemes;11007885.0;EEEMTI HEITOR VILLA-LOBOS;Estadual;99.1;99.2;98.8;99.1;-;0.99033;289.4;291.49;5.117744;5.1
RO;1100023.0;Ariquemes;11007893.0;EEEFM RICARDO CANTANHEDE;Estadual;97.9;97.2;98;98.9;-;0.980284;271.57;276.41;4.641574;4.6
RO;1100023.0;Ariquemes;11048620.0;EEEFM PROFESSORA CARMEM IONE DE ARAUJO;Estadual;80.4;75.3;85.1;93.8;-;0.840523;264.64;277.42;4.559362;3.8
RO;1100023.0;Ariquemes;11050233.0;EEEFM PROFESSORA QUITERIA DE OLIVEIRA DA SILVA;Estadual;91.9;87.8;93.8;100;-;0.936023;263.42;269.42;4.422467;4.1
RO;1100023.0;Ariquemes;11108800.0;IFRO - CAMPUS ARIQUEMES;Federal;93.2;90.6;94.3;96.4;-;0.937048;ND;ND;-;-
RO;1100031.0;Cabixi;11034270.0;EEEFM PLANALTO;Estadual;-;-;-;-;-;-;-;-;-;-
RO;1100031.0;Cabixi;11034440.0;EEEFM JOSE DE ANCHIETA;Estadual;97.9;97.8;98.4;97.4;-;0.978649;262.44;256.32;4.212595;4.1
RO;1100049.0;Cacoal;11025670.0;CENTRO EDUCACIONAL MEMORINA ROSA CAMPOS;Privada;-;-;-;-;-;-;-;-;-;-
RO;1100049.0;Cacoal;11026014.0;EEEFM ANTONIO GONCALVES DIAS;Estadual;-;-;-;-;-;-;-;-;-;-
RO;1100049.0;Cacoal;11026073.0;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM IX;Estadual;99.6;99.3;100;100;-;0.997656;278.11;287.05;4.892709;4.9
RO;1100049.0;Cacoal;11026197.0;EEEFM CARLOS DRUMMOND DE ANDRADE;Estadual;86.4;86.7;83.8;88.8;-;0.863845;240.12;235;3.57995;3.1
RO;1100049.0;Cacoal;11026278.0;EEEFM CORA CORALINA;Estadual;82.3;80.7;82;84.7;-;0.824333;261.05;260.86;4.261037;3.5
RO;1100049.0;Cacoal;11027290.0;ESCOLA DE EDUCACAO BASICA E PROFISSIONAL ANTONIO SANCHEZ DE LARRAGOITI Y CURDUMI;Privada;-;-;-;-;-;-;-;-;-;-
RO;1100049.0;Cacoal;11027312.0;EEEFM BERNARDO GUIMARAES;Estadual;-;-;-;-;-;-;-;-;-;-
RO;1100049.0;Cacoal;11027320.0;EEEFM CARLOS GOMES;Estadual;96.7;95.2;98.3;97.2;-;0.968829;266.48;273.13;4.520983;4.4
RO;1100049.0;Cacoal;11027347.0;EEEMTI CLODOALDO NUNES DE ALMEIDA;Estadual;98.1;98;97.8;99.1;-;0.982967;258.08;250.54;4.064832;4
RO;1100049.0;Cacoal;11027355.0;ESCOLA FAMILIA AGRICOLA PADRE EZEQUIEL RAMIN DE CACOAL;Privada;-;-;-;-;-;-;-;-;-;-
RO;1100049.0;Cacoal;11027401.0;EEEFM CELSO FERREIRA DA CUNHA;Estadual;95.1;93.5;97.9;95.3;-;0.955327;257.96;253.07;4.101021;3.9
RO;1100049.0;Cacoal;11046740.0;EEEMTI JOSINO BRITO;Estadual;97.7;97.5;96.8;99;-;0.977581;285.61;274.41;4.808825;4.7
RO;1100049.0;Cacoal;11049723.0;INSTITUTO EDUCACIONAL SOMA - IES;Privada;-;-;-;-;-;-;-;-;-;-
RO;1100049.0;Cacoal;11109815.0;IFRO - CAMPUS CACOAL;Federal;97.8;98.5;96.8;98.3;-;0.978608;301.01;305.36;5.48844;5.4
RO;1100056.0;Cerejeiras;11034998.0;EEEM TANCREDO DE ALMEIDA NEVES;Estadual;87.8;83.4;86;98.4;-;0.888075;272.43;275.23;4.635988;4.1
RO;1100064.0;Colorado do Oeste;11035951.0;EEEFM MANUEL BANDEIRA;Estadual;98.5;97.3;100;100;-;0.990835;271.24;272.06;4.571819;4.5
RO;1100064.0;Colorado do Oeste;11035960.0;EEEFM PAULO DE ASSIS RIBEIRO;Estadual;95.9;96.6;97.2;93.6;-;0.957738;264.22;265.5;4.37502;4.2
RO;1100064.0;Colorado do Oeste;11037016.0;IFRO - CAMPUS COLORADO DO OESTE;Federal;98;95;100;100;-;0.982759;290.94;298.2;5.239822;5.1
RO;1100072.0;Corumbiara;11036125.0;EEEFM COLINA VERDE;Estadual;100;100;100;100;-;1;258.64;251.66;4.089464;4.1
RO;1100072.0;Corumbiara;11036397.0;ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MEDIO MARECHAL RONDON;Estadual;95.1;96.7;88.9;100;-;0.949672;277.15;267.79;4.590903;4.4
RO;1100072.0;Corumbiara;11036486.0;EEEFM DOUTOR OSWALDO PIANNA;Estadual;99.3;98;100;100;-;0.993243;247.94;255.12;3.990979;4
RO;1100080.0;Costa Marques;11005823.0;EEEFM ANGELINA DOS ANJOS;Estadual;95.9;95.6;97.1;95.2;-;0.959597;265.37;258.95;4.293118;4.1
RO;1100080.0;Costa Marques;11047216.0;EEEFM DARCY DA SILVEIRA;Estadual;99.3;98.3;100;100;-;0.994268;255.18;251.11;4.032635;4
RO;1100098.0;Espigão D'Oeste;11027754.0;EEEFM JEAN PIAGET;Estadual;96.6;97.6;93.8;98.2;-;0.964935;266.62;261.04;4.341962;4.2
RO;1100098.0;Espigão D'Oeste;11028424.0;EEEMTI 7 DE SETEMBRO;Estadual;96.7;95.8;95.6;100;-;0.970916;289.51;295.57;5.180367;5
RO;1100106.0;Guajará-Mirim;11005939.0;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM X;Estadual;96.1;91.9;98.1;97.8;-;0.958466;268.86;279.65;4.652015;4.5
RO;1100106.0;Guajará-Mirim;11006420.0;EEEF PRESIDENTE EURICO GASPAR DUTRA;Estadual;97.7;100;100;92.9;-;0.975157;247.01;273.15;4.247828;4.1
RO;1100106.0;Guajará-Mirim;11006617.0;EEEFM IRMA MARIA CELESTE - CIVICO-MILITAR;Estadual;98.5;99.2;97.6;98.1;-;0.982955;245.74;251.72;3.909182;3.8
RO;1100106.0;Guajará-Mirim;11006633.0;EEEFM ROCHA LEAL;Estadual;84.3;79.4;85.6;92;-;0.853576;236.44;247.7;3.718385;3.2
RO;1100106.0;Guajará-Mirim;11006641.0;EEEMTI SIMON BOLIVAR;Estadual;95.9;93.9;97;97.8;-;0.962036;263.84;261.17;4.304863;4.1
RO;1100106.0;Guajará-Mirim;11006706.0;CENTRO EDUCACIONAL INOVACAO;Privada;-;-;-;-;-;-;-;-;-;-
RO;1100106.0;Guajará-Mirim;11049960.0;IFRO - CAMPUS GUAJARA-MIRIM;Federal;90.9;90.3;86.9;96.9;-;0.91181;ND;ND;-;-
RO;1100106.0;Guajará-Mirim;11089806.0;EEEF SALOMAO JUSTINIANO DE MELGAR;Estadual;98;95.8;100;100;-;0.985597;259.16;262.7;4.262037;4.2
RO;1100114.0;Jaru;11011491.0;EEEMTI CAPITAO SILVIO DE FARIAS;Estadual;96.8;100;92.2;97;-;0.962919;264.33;285.93;4.682403;4.5
RO;1100114.0;Jaru;11011661.0;EEEFM PROF DAYSE MARA DE OLIVEIRA MARTINS;Estadual;91.6;88.9;91.7;98.3;-;0.928027;266.21;280.18;4.62273;4.3
RO;1100114.0;Jaru;11012099.0;EEEFM GOV JORGE TEIXEIRA DE OLIVEIRA;Estadual;-;-;-;-;-;-;-;-;-;-
RO;1100114.0;Jaru;11012145.0;EEEFM JOSUE MONTELLO;Estadual;100;100;100;100;-;1;262.67;239.24;3.960137;4
RO;1100114.0;Jaru;11012277.0;EEEFM MARECHAL COSTA E SILVA;Estadual;100;100;100;100;-;1;265.14;259.17;4.293181;4.3
RO;1100114.0;Jaru;11012447.0;EEEFM OLGA DELLAIA;Estadual;90.1;89.9;89.9;90.4;-;0.900661;254.7;240.81;3.871702;3.5
RO;1100114.0;Jaru;11012579.0;EEEFM PEDRO VIEIRA DE MELO;Estadual;89.5;91.7;87.9;88;-;0.891654;255.08;250.08;4.015811;3.6
RO;1100114.0;Jaru;11012684.0;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM XIII;Estadual;99.2;98.7;100;100;-;0.995629;245.29;256.72;3.977712;4
RO;1100114.0;Jaru;11012994.0;EEEFM PLACIDO DE CASTRO;Estadual;91.2;89.6;91.8;94.1;-;0.917966;262.23;268.55;4.392729;4
RO;1100114.0;Jaru;11040076.0;COOPERATIVA DE PROFISSIONAIS EM EDUCACAO;Privada;-;-;-;-;-;-;-;-;-;-
RO;1100114.0;Jaru;11050322.0;IFRO - CAMPUS JARU;Federal;97.2;98.4;93.1;100;-;0.970756;ND;ND;-;-
RO;1100122.0;Ji-Paraná;11013141.0;COLEGIO ULBRA SAO PAULO;Privada;-;-;-;-;-;-;-;-;-;-
RO;1100122.0;Ji-Paraná;11013737.0;COLEGIO ADVENTISTA DE JI-PARANA;Privada;-;-;-;-;-;-;-;-;-;-
RO;1100122.0;Ji-Paraná;11014156.0;EEEFM JANETE CLAIR;Estadual;100;100;100;100;-;1;252.25;254.02;4.035046;4
RO;1100122.0;Ji-Paraná;11014300.0;EEEFM JUSCELINO KUBITSCHEK DE OLIVEIRA;Estadual;87.1;89.5;87.7;82;-;0.862793;ND;ND;-;-
RO;1100122.0;Ji-Paraná;11014431.0;EEEFM MARCOS BISPO DA SILVA;Estadual;97.6;95.9;98;99.6;-;0.978098;264.33;268.25;4.417733;4.3
RO;1100122.0;Ji-Paraná;11015500.0;EEEFM TUPA;Estadual;100;100;100;100;-;1;256.71;260.52;4.194992;4.2
RO;1100122.0;Ji-Paraná;11015608.0;EEEFM ALUIZIO FERREIRA;Estadual;89.3;88.9;85.5;94.9;-;0.896006;281.23;278.67;4.81108;4.3
RO;1100122.0;Ji-Paraná;11015616.0;EEEFM CEL JORGE TEIXEIRA DE OLIVEIRA;Estadual;96.9;98;93.1;100;-;0.969455;247.63;233.74;3.666565;3.6
RO;1100122.0;Ji-Paraná;11015624.0;EEEFM GONCALVES DIAS;Estadual;92.9;89.2;94;99.3;-;0.939863;254.19;262.64;4.191335;3.9
RO;1100122.0;Ji-Paraná;11015632.0;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM IV;Estadual;89.4;86.3;91.5;100;-;0.92261;277.05;283.54;4.825277;4.5
RO;1100122.0;Ji-Paraná;11015667.0;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM VI;Estadual;93.5;89.8;97.1;100;-;0.954365;284.11;295.67;5.106021;4.9
RO;1100122.0;Ji-Paraná;11015683.0;EEEFM PROF JOSE FRANCISCO DOS SANTOS;Estadual;80.8;73.7;86.3;84.6;-;0.81133;258.51;264.22;4.275662;3.5
RO;1100122.0;Ji-Paraná;11015896.0;ESCOLA FAMILIA AGRICOLA ITAPIREMA;Privada;-;-;-;-;-;-;-;-;-;-
RO;1100122.0;Ji-Paraná;11016094.0;IEE MARECHAL RONDON;Estadual;96.3;97.2;94.8;96.6;-;0.961891;ND;ND;-;-
RO;1100122.0;Ji-Paraná;11047208.0;EEEMTI JOVEM GONCALVES VILELA;Estadual;92.3;86.1;98.6;98.8;-;0.941092;281.42;274.73;4.754767;4.5
RO;1100122.0;Ji-Paraná;11049634.0;EEEMTI PROFESSOR ALEJANDRO YAGUE MAYOR;Estadual;100;100;100;100;-;1;310;315.8;5.770992;5.8
RO;1100122.0;Ji-Paraná;11106808.0;IFRO - CAMPUS JI-PARANA;Federal;96.5;95.3;96.3;98.1;-;0.965528;ND;ND;-;-
RO;1100130.0;Machadinho D'Oeste;11008008.0;EEEFM ALBERTO NEPOMUCENO;Estadual;-;-;-;-;-;-;-;-;-;-
RO;1100130.0;Machadinho D'Oeste;11009080.0;EEEFM JOAQUIM PEREIRA DA ROCHA;Estadual;91;89.2;93.2;91.4;-;0.912373;259.81;264.61;4.299759;3.9
RO;1100130.0;Machadinho D'Oeste;11048018.0;EEEM PROFESSORA MARIA CONCEICAO DE SOUZA;Estadual;86.8;78.3;92.3;95.7;-;0.880929;258.85;266.24;4.310677;3.8
RO;1100130.0;Machadinho D'Oeste;11049812.0;EEEFM VALDOMIRO FRANCISCO DE OLIVEIRA;Estadual;99.4;98.7;100;100;-;0.995629;257.52;242.74;3.9402;3.9
RO;1100130.0;Machadinho D'Oeste;11050870.0;EEEFM VIVALDINO FERNANDES DE AVILA;Estadual;71;65.9;71.7;82.9;-;0.728434;259.64;261.83;4.255754;3.1
RO;1100148.0;Nova Brasilândia D'Oeste;11022221.0;EEEFM AURELIO BUARQUE DE HOLANDA FERREIRA;Estadual;96.3;96;95.2;98;-;0.963857;280.6;286.1;4.91346;4.7
RO;1100155.0;Ouro Preto do Oeste;11016507.0;EEEFM AURELIO BUARQUE DE HOLANDA FERREIRA;Estadual;-;-;-;-;-;-;-;-;-;-
RO;1100155.0;Ouro Preto do Oeste;11017422.0;EEEFM MARIA DE MATOS E SILVA;Estadual;95.2;94.3;94.1;97.3;-;0.952111;279.68;264.35;4.574939;4.4
RO;1100155.0;Ouro Preto do Oeste;11017775.0;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM XII;Estadual;96;99.4;88.5;98.6;-;0.952327;286.63;293.76;5.112821;4.9
RO;1100155.0;Ouro Preto do Oeste;11017791.0;EEEM JOAQUIM DE LIMA AVELINO;Estadual;82.3;76.3;87;89.2;-;0.837727;277.25;277.58;4.738864;4
RO;1100189.0;Pimenta Bueno;11031700.0;EEEFM BOM SUCESSO;Estadual;-;-;-;-;-;-;-;-;-;-
RO;1100189.0;Pimenta Bueno;11032260.0;EEEFM MARECHAL CORDEIRO DE FARIAS;Estadual;94.8;90.5;100;100;-;0.966192;290.98;298.83;5.249815;5.1
RO;1100189.0;Pimenta Bueno;11032510.0;EEEFM ORLANDO BUENO DA SILVA;Estadual;78.6;72.9;86.1;81.4;-;0.797515;256.86;260.26;4.193206;3.3
RO;1100189.0;Pimenta Bueno;11033070.0;EEEFM RAIMUNDO EUCLIDES BARBOSA;Estadual;76.2;69.3;75;88.6;-;0.768245;265.88;269.09;4.452077;3.4
RO;1100189.0;Pimenta Bueno;11048956.0;CENTRO TECNICO ESTADUAL DE EDUCACAO RURAL ABAITARA;Estadual;97.1;96.2;97.2;100;-;0.977738;ND;ND;-;-
RO;1100205.0;Porto Velho;11000058.0;CENTRO DE ENSINO CLASSE A;Privada;-;-;-;-;-;-;-;-;-;-
RO;1100205.0;Porto Velho;11000198.0;COLEGIO SAPIENS - UNIDADE JARDIM DAS MANGUEIRAS;Privada;-;-;-;-;-;-;-;-;-;-
RO;1100205.0;Porto Velho;11000244.0;COLEGIO DOM BOSCO;Privada;-;-;-;-;-;-;-;-;-;-
RO;1100205.0;Porto Velho;11000252.0;COLEGIO SAPIENS - UNIDADE JARDIM AMERICA;Privada;-;-;-;-;-;-;-;-;-;-
RO;1100205.0;Porto Velho;11000260.0;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM I;Estadual;82.7;74.8;86.1;90.9;-;0.833693;315.02;318.69;5.884761;4.9
RO;1100205.0;Porto Velho;11000350.0;COLEGIO ADVENTISTA DE PORTO VELHO;Privada;-;-;-;-;-;-;-;-;-;-
RO;1100205.0;Porto Velho;11000384.0;EEEFM 4 DE JANEIRO;Estadual;82;82.5;78.3;86.3;-;0.822366;262.51;274.71;4.488878;3.7
RO;1100205.0;Porto Velho;11000457.0;EEEFM PROFESSORA ANTONIA VIEIRA FROTA;Estadual;83.5;76.9;91;88.7;-;0.850657;251.41;257.15;4.070104;3.5
RO;1100205.0;Porto Velho;11000554.0;EEEFM BANDEIRANTES;Estadual;91;88.6;92.2;93.3;-;0.91322;260.45;255.86;4.177759;3.8
RO;1100205.0;Porto Velho;11000597.0;EEEFM BELA VISTA;Estadual;-;-;-;-;-;-;-;-;-;-
RO;1100205.0;Porto Velho;11000678.0;EEEMTI BRASILIA;Estadual;99;97.6;100;100;-;0.99187;271.02;286.67;4.787442;4.7
RO;1100205.0;Porto Velho;11000708.0;EEEFM CAP CLAUDIO MANOEL DA COSTA;Estadual;80.6;75;82.9;87.2;-;0.813803;247.66;255.96;3.999622;3.3
RO;1100205.0;Porto Velho;11000856.0;EEEFM PROFESSOR DANIEL NERI DA SILVA - CIVICO-MILITAR;Estadual;91.2;82;97.8;99.1;-;0.922768;259;269.07;4.355149;4
RO;1100205.0;Porto Velho;11000880.0;CENTRO EDUCACIONAL DR GILBERTO MENDES DE AZEVEDO;Privada;-;-;-;-;-;-;-;-;-;-
RO;1100205.0;Porto Velho;11000937.0;EEEFM DR OSWALDO PIANNA;Estadual;-;-;-;-;-;-;-;-;-;-
RO;1100205.0;Porto Velho;11001046.0;EEEFM ESTUDO E TRABALHO;Estadual;89;86.3;89.6;92.2;-;0.893012;242.19;250.55;3.841808;3.4
RO;1100205.0;Porto Velho;11001119.0;EEEFM GOV ARAUJO LIMA;Estadual;93.2;96.4;88;96;-;0.933017;258.16;269.17;4.344848;4.1
RO;1100205.0;Porto Velho;11001135.0;COLEGIO MILITAR DOM PEDRO II - CMDP II - UNIDADE I;Estadual;97.8;100;95.8;97.3;-;0.976693;265.11;273.03;4.500245;4.4
RO;1100205.0;Porto Velho;11001143.0;EEEFM GOV JESUS BURLAMAQUI HOSANNAH;Estadual;88.7;75.4;92.5;100;-;0.880452;240.08;249.08;3.790167;3.3
RO;1100205.0;Porto Velho;11001283.0;EEEFM JOHN KENNEDY;Estadual;77.2;63.1;76.9;94.4;-;0.760553;261.18;268.19;4.372593;3.3
RO;1100205.0;Porto Velho;11001305.0;EEEFM JORGE TEIXEIRA DE OLIVEIRA;Estadual;99.4;100;98.2;100;-;0.993927;259.32;276.34;4.468475;4.4
RO;1100205.0;Porto Velho;11001410.0;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM VII;Estadual;99.1;97.8;100;100;-;0.992558;283.04;296.03;5.096382;5.1
RO;1100205.0;Porto Velho;11001496.0;EEEFM MARCOS DE BARROS FREIRE;Estadual;68.5;50.8;80.9;89.8;-;0.694737;257.95;256.81;4.156869;2.9
RO;1100205.0;Porto Velho;11001550.0;EEEFM MARIANA;Estadual;97.4;96.7;96.9;100;-;0.978436;254.9;270.83;4.323912;4.2
RO;1100205.0;Porto Velho;11001640.0;EEEFM MURILO BRAGA;Estadual;98.7;98.8;97.7;100;-;0.988244;261.95;266.46;4.357509;4.3
RO;1100205.0;Porto Velho;11002018.0;EEEFM PROF FLORA CALHEIROS COTRIN;Estadual;80.2;78.1;77.7;87.2;-;0.807711;250.65;257.41;4.063323;3.3
RO;1100205.0;Porto Velho;11002123.0;EEEFM RISOLETA NEVES;Estadual;93.2;92.5;93.4;94.1;-;0.933287;252.99;253.05;4.030918;3.8
RO;1100205.0;Porto Velho;11002255.0;EEEFM SAO LUIZ;Estadual;-;-;-;-;-;-;-;-;-;-
RO;1100205.0;Porto Velho;11002468.0;EEEFM BARAO DO SOLIMOES;Estadual;100;100;100;100;-;1;285.04;295.5;5.116538;5.1
RO;1100205.0;Porto Velho;11002476.0;EEEFM GETULIO VARGAS - CIVICO-MILITAR;Estadual;91.5;91.2;91.1;93.3;-;0.918556;257.86;269.64;4.34767;4
RO;1100205.0;Porto Velho;11002484.0;EEEM MAJOR GUAPINDAIA;Estadual;92.6;91;95.3;91.7;-;0.926289;281.32;294.72;5.052614;4.7
RO;1100205.0;Porto Velho;11002506.0;EEEFM MARECHAL CASTELO BRANCO;Estadual;93.9;89.2;96;97.8;-;0.941845;257.16;262.09;4.224815;4
RO;1100205.0;Porto Velho;11002514.0;EEEFM PROF ORLANDO FREIRE;Estadual;85.6;80.3;90.8;87.7;-;0.860362;252.32;262.89;4.168813;3.6
RO;1100205.0;Porto Velho;11002522.0;EEEFM PROF EDUARDO LIMA E SILVA;Estadual;87.7;82.1;88.7;96.8;-;0.887973;257.33;259.57;4.189478;3.7
RO;1100205.0;Porto Velho;11002549.0;EEEFM RIO BRANCO;Estadual;81.7;74;71.2;98.6;-;0.795747;265.27;271.64;4.481684;3.6
RO;1100205.0;Porto Velho;11003065.0;IEE CARMELA DUTRA;Estadual;89.2;88.7;86.2;93;-;0.892125;ND;ND;-;-
RO;1100205.0;Porto Velho;11003081.0;INSTITUTO LAURA VICUNA;Privada;-;-;-;-;-;-;-;-;-;-
RO;1100205.0;Porto Velho;11003413.0;EEEFM GENERAL OSORIO;Estadual;96.8;98.4;92.2;100;-;0.967474;244.8;240.26;3.724423;3.6
RO;1100205.0;Porto Velho;11003812.0;EEEFM MARIA NAZARE DOS SANTOS;Estadual;89.7;87;87.2;97;-;0.901675;238.17;235.7;3.563042;3.2
RO;1100205.0;Porto Velho;11037474.0;CENTRO DE ENSINO MINEIRO;Privada;-;-;-;-;-;-;-;-;-;-
RO;1100205.0;Porto Velho;11038063.0;EEEFM ULISSES GUIMARAES - CIVICO-MILITAR;Estadual;93.3;91;98.4;90.1;-;0.930221;245.7;251.98;3.912513;3.6
RO;1100205.0;Porto Velho;11040629.0;EEEFM JAYME PEIXOTO DE ALENCAR;Estadual;82.8;74.5;79.6;100;-;0.833666;247.29;253.14;3.952209;3.3
RO;1100205.0;Porto Velho;11040688.0;EPEFM TERRA NOVA;Privada;-;-;-;-;-;-;-;-;-;-
RO;1100205.0;Porto Velho;11040793.0;EEEB PROF JOAO BENTO DA COSTA;Estadual;79.7;77.9;84.7;75.9;-;0.793261;276.95;286.72;4.871477;3.9
RO;1100205.0;Porto Velho;11043857.0;COLEGIO CLASSE A;Privada;-;-;-;-;-;-;-;-;-;-
RO;1100205.0;Porto Velho;11048450.0;ESCOLA MARCELO CANDIA SUBSEDE I;Estadual;-;-;-;-;-;-;-;-;-;-
RO;1100205.0;Porto Velho;11048670.0;EEEFM PROFESSOR FRANCISCO DESMOREST PASSOS;Estadual;92.8;90;95.2;94.4;-;0.93143;ND;ND;-;-
RO;1100205.0;Porto Velho;11049073.0;COLEGIO SAPIENS - UNIDADE INTENSIVO;Privada;-;-;-;-;-;-;-;-;-;-
RO;1100205.0;Porto Velho;11049430.0;COLEGIO TIRADENTES DA POLICIA MILITAR II UNIDADE JACI PARANA CTPM II;Estadual;94.6;94.6;90.8;98.7;-;0.945902;ND;ND;-;-
RO;1100205.0;Porto Velho;11049936.0;EEEMTI LYDIA JOHNSON DE MACEDO;Estadual;-;-;-;-;-;-;-;-;-;-
RO;1100205.0;Porto Velho;11050349.0;EEEFM FERNANDO DE SOUZA GOMES;Estadual;83.1;87;83.1;73.3;-;0.807091;267.09;259.43;4.324461;3.5
RO;1100205.0;Porto Velho;11050578.0;EEEM PROFESSORA JURACY LIMA TAVARES;Estadual;83.6;74.3;96.7;82.4;-;0.834814;ND;ND;-;-
RO;1100205.0;Porto Velho;11104805.0;EEEFM CESAR FREITAS CASSOL;Estadual;82.5;77.4;83.6;90.3;-;0.834357;ND;ND;-;-
RO;1100205.0;Porto Velho;11109807.0;IFRO - CAMPUS PORTO VELHO CALAMA;Federal;93.5;92.5;93.2;94.9;-;0.935225;ND;ND;-;-
RO;1100205.0;Porto Velho;11113804.0;EEEFM RAIMUNDO NONATO VIEIRA DA SILVA;Estadual;87.2;87.3;87.5;86.2;-;0.869962;251.63;267.04;4.221248;3.7
RO;1100254.0;Presidente Médici;11018089.0;EEEFM CARLOS DRUMOND DE ANDRADE;Estadual;97.2;96.6;96.1;100;-;0.975363;277.43;295.18;5.004865;4.9
RO;1100254.0;Presidente Médici;11018216.0;EEEFM DONA BENTA;Estadual;96;96;100;93.3;-;0.963553;279.72;274.78;4.731639;4.6
RO;1100254.0;Presidente Médici;11018267.0;EEEFM EMBURANA;Estadual;97.4;96.9;96.2;100;-;0.976724;246.02;253.38;3.937965;3.8
RO;1100254.0;Presidente Médici;11018810.0;EEEFM PROF PAULO FREIRE;Estadual;92.7;89.9;94.8;95.6;-;0.933642;263.58;278.91;4.56678;4.3
RO;1100254.0;Presidente Médici;11018950.0;EEEFM PRESIDENTE EMILIO GARRASTAZU MEDICI;Estadual;95.5;94.7;96.9;96.2;-;0.959245;257.77;262.75;4.243263;4.1
RO;1100254.0;Presidente Médici;11048441.0;EEEFM IRMA DOROTHY MAE STANG;Estadual;-;-;-;-;-;-;-;-;-;-
RO;1100262.0;Rio Crespo;11009306.0;EEEFM FRANCISCO MIGNONE;Estadual;95.3;100;89.5;94.7;-;0.945393;275.02;266.37;4.53973;4.3
RO;1100288.0;Rolim de Moura;11028750.0;EEEFM CARLOS DRUMOND DE ANDRADE;Estadual;94.3;98.1;92.7;92;-;0.941894;262.78;254.47;4.189676;3.9
RO;1100288.0;Rolim de Moura;11029056.0;EEEFM JOSE ROSALES DOS SANTOS;Estadual;99.1;98.5;100;100;-;0.994949;281.61;269.63;4.681088;4.7
RO;1100288.0;Rolim de Moura;11029110.0;EEEFM MARIA DO CARMO DE OLIVEIRA RABELO;Estadual;97.9;96.9;100;100;-;0.989449;266.5;272.84;4.516923;4.5
RO;1100288.0;Rolim de Moura;11029170.0;EEEFM NILSON SILVA;Estadual;100;-;-;100;-;1;286.86;298.1;5.181022;5.2
RO;1100288.0;Rolim de Moura;11029307.0;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM VIII;Estadual;99.3;98.8;100;100;-;0.995968;277.26;275.95;4.714603;4.7
RO;1100288.0;Rolim de Moura;11029439.0;EEEMTI CANDIDO PORTINARI;Estadual;99.1;99.4;98.8;98.5;-;0.988986;294.23;289.79;5.160132;5.1
RO;1100288.0;Rolim de Moura;11029455.0;EEEFM CEL ALUIZIO PINHEIRO FERREIRA;Estadual;94.5;91.6;96.6;95.6;-;0.9455;290.99;291.9;5.146213;4.9
RO;1100288.0;Rolim de Moura;11029480.0;EEEFM TANCREDO DE ALMEIDA NEVES;Estadual;91.6;89.6;93.2;100;-;0.940724;265.47;265.69;4.395421;4.1
RO;1100288.0;Rolim de Moura;11045639.0;COLEGIO CLARICE LISPECTOR LTDA;Privada;-;-;-;-;-;-;-;-;-;-
RO;1100296.0;Santa Luzia D'Oeste;11029951.0;EEEFM JUSCELINO KUBITSCHEK;Estadual;99.3;100;98.7;98.2;-;0.989609;266.63;274.74;4.547192;4.5
